PlaceID,Name,SimplifiedChineseName,TradionalChineseName,Province/City,Source,Longtitude,Latitude,Area,DistrictByArea,DongByArea,LongtitudeByArea,LatitudeByArea,중문원문,문제종류
653,팔레스호텔,皇宫饭店,皇宮飯店,,2015 외래관광객실태조사,,,,,,,,,
654,콘래드호텔,首尔康莱德酒店,首爾康萊德酒店,Seoul,2015 외래관광객실태조사,126.9265549,37.5253343,콘래드호텔,영등포구,여의도동,126.9265549,37.5253343,,
655,웨스틴조선호텔,首尔威斯汀朝鲜酒店,首爾威斯汀朝鮮酒店,Seoul,2015 외래관광객실태조사,126.980058,37.564378,웨스틴조선호텔,중구,소공동,126.980058,37.564378,,
656,아르누보씨티,江南新艺术城市饭店,江南新藝術城市飯店,Seoul,2015 외래관광객실태조사,127.0281593,37.4933907,아르누보씨티,서초구,서초동,127.0281593,37.4933907,,
657,연세세브란스병원,延世大学 新村世福兰斯医院,延世大學 新村世福蘭斯醫院,Seoul,2015 외래관광객실태조사,126.9408692,37.5623371,연세세브란스병원,서대문구,신촌동,126.9408692,37.5623371,,
658,이화여자대학병원,梨花女子附属首尔医院,梨花女子附屬首爾醫院,Seoul,2015 외래관광객실태조사,126.8362637,37.55732,이화여자대학병원,강서구,마곡동,126.8362637,37.55732,,
659,경희대학병원,庆熙大学医院,慶熙大學醫院,Seoul,2015 외래관광객실태조사,127.0513235,37.5938755,경희대학병원,동대문구,회기동,127.0513235,37.5938755,,
660,강남성모병원,江南圣母医院,江南聖母醫院,Seoul,2015 외래관광객실태조사,127.0047678,37.5016116,강남성모병원,서초구,반포동,127.0047678,37.5016116,,
661,한양대학병원,汉阳大学医院,漢陽大學醫院,Seoul,2015 외래관광객실태조사,127.0439991,37.5596514,한양대학병원,성동구,사근동,127.0439991,37.5596514,,
662,서울대학병원,首尔大学医院,首爾大學醫院,Seoul,2015 외래관광객실태조사,126.9990602,37.5795427,서울대학교병원,종로구,연건동,126.9990602,37.5795427,,
663,병원,医院,醫院,,2015 외래관광객실태조사,,,,,,,,,
664,절두산,切头山,切頭山,Seoul,2015 외래관광객실태조사,126.9116248,37.5444056,절두산,마포구,합정동,126.9116248,37.5444056,,
665,까치산,喜鹊山,喜鵲山,,2015 외래관광객실태조사,,,,,,,,,
666,북한산,北汉山,北漢山,Seoul,2015 외래관광객실태조사,126.993333,37.660833,북한산,강북구,우이동,126.993333,37.660833,,
667,청계산,清溪山,清溪山,Gyeonggi,2015 외래관광객실태조사,127.0415787,37.4141657,청계산,의왕시,청계동,127.0415787,37.4141657,,
668,관악산,冠岳山,冠岳山,Seoul,2015 외래관광객실태조사,126.9610024,37.4429385,관악산,관악구,신림동,126.9610024,37.4429385,,
669,소요산,牛余山,牛餘山,Gyeonggi,2015 외래관광객실태조사,127.0878091,37.9426296,소요산,동두천시,상봉암동,127.0878091,37.9426296,,
670,소공동,小公洞,小公洞,Seoul,2015 외래관광객실태조사,126.9749183,37.5644131,소공동,중구,서소문동,126.9749183,37.5644131,,
671,삼각지,三角地,三角地,Seoul,2015 외래관광객실태조사,126.972987,37.534547,삼각지역,용산구,한강로1가,126.972987,37.534547,,
672,발산동,钵山洞,缽山洞,Seoul,2015 외래관광객실태조사,126.8196088,37.5470548,발산동,강서구,외발산동,126.8196088,37.5470548,,
673,동숭동,东崇洞,東崇洞,Seoul,2015 외래관광객실태조사,127.0048867,37.581408,동숭동,종로구,동숭동,127.0048867,37.581408,,
674,봉천동,奉川洞,奉川洞,Seoul,2015 외래관광객실태조사,126.9534883,37.4779671,봉천동,관악구,봉천동,126.9534883,37.4779671,,
675,종묘,宗庙,宗廟,Seoul,2015 외래관광객실태조사,126.994143,37.574583,종묘,종로구,훈정동,126.994143,37.574583,,
676,제일병원,第一医院,第一醫院,Seoul,2015 외래관광객실태조사,126.995025,37.4878254,제일병원,서초구,방배동,126.995025,37.4878254,,
677,삼성병원 / 삼성의료원,三星首尔医院,三星首爾醫院,Seoul,2015 외래관광객실태조사,127.0849885,37.4881193,삼성병원,강남구,일원동,127.0849885,37.4881193,,
678,중앙대학병원(흑석동),中央大学医院（黑石洞）,中央大學醫院（黑石洞）,Seoul,2015 외래관광객실태조사,126.9607295,37.5066909,중앙대학병원,동작구,흑석동,126.9607295,37.5066909,,
679,명지대학교,明知大学,明知大學,Seoul,2015 외래관광객실태조사,126.9226047,37.5802219,명지대학교,서대문구,남가좌동,126.9226047,37.5802219,,
