실태조사(2015~2019),총 375곳,,,트립닷컴(2015~2024),총 56곳,,
김포공항,Seoul,강남,현대,,,,
강남구,Seoul,강남,현대,,,,
혜화문,Seoul,강북,전통,,,,
고투몰,Seoul,강남,현대,,,,
독산역,Seoul,강남,현대,,,,
강남 세브란스병원,Seoul,강남,현대,,,,
순천향대학교 서울병원,Seoul,강북,현대,,,,
모란시장,Gyeonggi,,전통/현대,,,,
남동체육관,Incheon,,현대,,,,
을지로,Seoul,강북,현대,,,,
평택 캠프험프리,Gyeonggi,,현대,,,,
파라다이스 시티호텔 &리조트,Incheon,,현대,,,,
장호원,Gyeonggi,,현대,,,,
신라면세점,Seoul,강북,현대,,,,
주안역,Incheon,,현대,,,,
인천 서구,Incheon,,현대,,,,
성동구,Seoul,강북,현대,,,,
인천공항,Incheon,,현대,,,,
인천대공원,Incheon,,현대,,,,
서대문 형무소,Seoul,강북,현대,,,,
KBS 스튜디오,Seoul,강남,현대,,,,
국립현대미술관,Seoul,강북,현대,,,,
고척스카이돔,Seoul,강남,현대,,,,
약수동,Seoul,강북,현대,,,,
낙산공원,Seoul,강북,현대,,,,
은평구,Seoul,강북,현대,,,,
국민대학교,Seoul,강북,현대,,,,
도봉구,Seoul,강북,현대,,,,
황학동,Seoul,강북,현대,,,,
수원시,Gyeonggi,,현대,,,,
숙대입구역,Seoul,강북,현대,,,,
리움미술관,Seoul,강남,현대,,,,
여주시,Gyeonggi,,현대,,,,
삼성출판박물관,Seoul,강북,전통,,,,
면목동,Seoul,강북,현대,,,,
한국농기계공업협동조합,Seoul,강남,현대,,,,
메디플렉스 세종병원,Incheon,,현대,,,,
동국대학교,Seoul,강북,현대,,,,
일산 백병원,Gyeonggi,,현대,,,,
숭실대학교,Seoul,강남,현대,,,,
장안동,Seoul,강북,현대,,,,
신당동,Seoul,강남,현대,,,,
중랑구,Seoul,강북,현대,,,,
논현동,Seoul,강남,현대,,,,
오금동,Seoul,강남,현대,,,,
주안동,Incheon,,현대,,,,
롯데시티김포호텔,Seoul,강남,현대,,,,
구기동,Seoul,강북,현대,,,,
천호동,Seoul,강남,현대,,,,
망원동,Seoul,강북,현대,,,,
염창동,Seoul,강남,현대,,,,
중고차시장,Seoul,강북,전통/현대,,,,
석촌동,Seoul,강남,현대,,,,
대치동,Seoul,강남,현대,,,,
코리아나 호텔,Seoul,강북,현대,,,,
이화여자대학병원,Seoul,강북,현대,,,,
인천항,Incheon,,현대,,,,
마장동,Seoul,강북,현대,,,,
소요산,Gyeonggi,,현대,,,,
죽전동,Gyeonggi,,현대,,,,
발산동,Seoul,강남,현대,,,,
문산읍,Gyeonggi,,현대,,,,
개봉동,Seoul,강남,현대,,,,
한성대학교,Seoul,강남,현대,,,,
광나루한강공원,Seoul,강남,현대,,,,
동국대학교 일산병원,Gyeonggi,,현대,,,,
인터컨티넨탈호텔,Seoul,강남,현대,,,,
경기아트센터,Gyeonggi,,현대,,,,
성북동,Seoul,강북,현대,,,,
해방촌,Seoul,강북,현대,,,,
연수동,Incheon,,현대,,,,
동탄복합문화센터,Gyeonggi,,현대,,,,
건국대학교병원,Seoul,강북,현대,,,,
분당서울대병원,Gyeonggi,,현대,,,,
홀리데이인 서울 성북,Seoul,강북,현대,,,,
경기도자미술관,Gyeonggi,,전통,,,,
어린이대공원,Seoul,강북,현대,,,,
명지병원,Gyeonggi,,현대,,,,
세종문화회관,Seoul,강북,현대,,,,
연남동,Seoul,강북,현대,,,,
연천군,Gyeonggi,,현대,,,,
서울시립미술관,Seoul,강북,현대,,,,
남부터미널,Seoul,강남,현대,,,,
봉천동,Seoul,강남,현대,,,,
모래내시장,Incheon,,전통/현대,,,,
우장산역,Seoul,강남,현대,,,,
응봉산,Seoul,강북,현대,,,,
캐나다대사관,Seoul,강북,현대,,,,
가양동,Seoul,강북,현대,,,,
정동,Seoul,강북,현대,,,,
옥수동,Seoul,강북,현대,,,,
서울과학기술대학교,Seoul,강북,현대,,,,
망우동,Seoul,강북,현대,,,,
아라빛섬,Incheon,,현대,,,,
창동,Seoul,강북,현대,,,,
강북구,Seoul,강북,현대,,,,
충무아트홀,Seoul,강북,현대,,,,
백령도,Incheon,,현대,,,,
금촌동,Gyeonggi,,현대,,,,
서강대학교,Seoul,강북,현대,,,,
인천연꽃마을,Incheon,,현대,,,,
인천예술문화회관,Incheon,,현대,,,,
안국동,Seoul,강북,현대,,,,
렉스턴호텔,Gyeonggi,,현대,,,,
김포 현대프리미엄아울렛,Gyeonggi,,현대,,,,
뚝섬한강공원,Seoul,강북,현대,,,,
부암동,Seoul,강북,현대,,,,
한국의 집,Seoul,강북,전통/현대,,,,
등촌동,Seoul,강남,현대,,,,
신포국제시장,Incheon,,전통/현대,,,,
인천 유나이티드 경기장,Incheon,,현대,,,,
장한평역,Seoul,강북,현대,,,,
동서울 터미널,Seoul,강북,현대,,,,
가천대 길병원,Incheon,,현대,,,,
라마다인천호텔,Incheon,,현대,,,,
양재 시민의 숲,Seoul,강남,현대,,,,
한전아트센터,Seoul,강남,현대,,,,
청량리역,Seoul,강북,현대,,,,
수색동,Seoul,강북,현대,,,,
더 플라자 호텔,Seoul,강북,현대,,,,
뉴서울호텔,Seoul,강북,현대,,,,
베스트웨스턴인천 호텔,Incheon,,현대,,,,
K-POP로드,Seoul,강남,현대,,,,
인천 남구,Incheon,,현대,,,,
BTS팝업스토어,Seoul,강남,현대,,,,
수서역,Seoul,강남,현대,,,,
그랜드 앰버서더,Seoul,강북,현대,,,,
국립극장,Seoul,강북,현대,,,,
상도동,Seoul,강남,현대,,,,
카톨릭대학교 인천성모병원,Incheon,,현대,,,,
