CompanionID,VisitID,CompanionType
431,1110,혼자 왔다
432,1112,혼자 왔다
433,1113,혼자 왔다
434,1114,혼자 왔다
435,1116,혼자 왔다
436,1117,혼자 왔다
437,1120,혼자 왔다
438,1126,혼자 왔다
439,1134,혼자 왔다
440,1135,혼자 왔다
441,1136,혼자 왔다
442,1137,혼자 왔다
443,1138,혼자 왔다
444,1139,혼자 왔다
445,1141,혼자 왔다
446,1142,혼자 왔다
447,1143,혼자 왔다
448,1145,혼자 왔다
449,1146,혼자 왔다
450,1147,혼자 왔다
451,1149,혼자 왔다
452,1150,혼자 왔다
453,1155,혼자 왔다
454,1157,혼자 왔다
455,1158,혼자 왔다
456,1159,혼자 왔다
457,1160,혼자 왔다
458,1165,혼자 왔다
459,1170,혼자 왔다
460,1176,혼자 왔다
461,1177,혼자 왔다
462,1178,혼자 왔다
463,1179,혼자 왔다
464,1182,혼자 왔다
465,1183,혼자 왔다
466,1184,혼자 왔다
467,1185,혼자 왔다
468,1189,혼자 왔다
469,1192,혼자 왔다
470,1193,혼자 왔다
471,1194,혼자 왔다
472,1196,혼자 왔다
473,1197,혼자 왔다
474,1198,혼자 왔다
475,1199,혼자 왔다
476,1200,혼자 왔다
477,1201,혼자 왔다
478,1202,혼자 왔다
479,1203,혼자 왔다
480,1204,혼자 왔다
481,1214,혼자 왔다
482,1215,혼자 왔다
483,1218,혼자 왔다
484,1238,혼자 왔다
485,1239,혼자 왔다
486,1241,혼자 왔다
487,1242,혼자 왔다
488,1243,혼자 왔다
489,1244,혼자 왔다
490,1245,혼자 왔다
491,1248,혼자 왔다
492,1250,혼자 왔다
493,1251,혼자 왔다
494,1252,혼자 왔다
495,1253,혼자 왔다
496,1254,혼자 왔다
497,1256,혼자 왔다
498,1259,혼자 왔다
499,1260,혼자 왔다
500,1266,혼자 왔다
501,1267,혼자 왔다
502,1269,혼자 왔다
503,1271,혼자 왔다
504,1272,혼자 왔다
505,1273,혼자 왔다
506,1274,혼자 왔다
507,1276,혼자 왔다
508,1278,혼자 왔다
509,1280,혼자 왔다
510,1281,혼자 왔다
511,1283,혼자 왔다
512,1284,혼자 왔다
513,1285,혼자 왔다
514,1289,혼자 왔다
515,1290,혼자 왔다
516,1291,혼자 왔다
517,1292,혼자 왔다
518,1295,혼자 왔다
519,1296,혼자 왔다
520,1297,혼자 왔다
521,1301,혼자 왔다
522,1302,혼자 왔다
523,1304,혼자 왔다
524,1307,혼자 왔다
525,1308,혼자 왔다
526,1309,혼자 왔다
527,1312,혼자 왔다
528,1313,혼자 왔다
529,1314,혼자 왔다
530,1316,혼자 왔다
531,1319,혼자 왔다
532,1320,혼자 왔다
533,1321,혼자 왔다
534,1322,혼자 왔다
535,1323,혼자 왔다
536,1324,혼자 왔다
537,1325,혼자 왔다
538,1326,혼자 왔다
539,1327,혼자 왔다
540,1328,혼자 왔다
541,1329,혼자 왔다
542,1330,혼자 왔다
543,1331,혼자 왔다
544,1332,혼자 왔다
545,1333,혼자 왔다
546,1334,혼자 왔다
547,1335,혼자 왔다
548,1336,혼자 왔다
549,1338,혼자 왔다
550,1339,혼자 왔다
551,1341,혼자 왔다
552,1342,혼자 왔다
553,1343,혼자 왔다
554,1344,혼자 왔다
555,1345,혼자 왔다
556,1346,혼자 왔다
557,1356,혼자 왔다
558,1363,혼자 왔다
559,1373,혼자 왔다
560,1378,혼자 왔다
561,1380,혼자 왔다
562,1381,혼자 왔다
563,1382,혼자 왔다
564,1383,혼자 왔다
565,1384,혼자 왔다
566,1392,혼자 왔다
567,1394,혼자 왔다
568,1397,혼자 왔다
569,1411,혼자 왔다
570,1416,혼자 왔다
571,1418,혼자 왔다
572,1420,혼자 왔다
573,1426,혼자 왔다
574,1431,혼자 왔다
575,1448,혼자 왔다
576,1453,혼자 왔다
577,1458,혼자 왔다
578,1460,혼자 왔다
579,1462,혼자 왔다
580,1465,혼자 왔다
581,1466,혼자 왔다
582,1468,혼자 왔다
583,1469,혼자 왔다
584,1470,혼자 왔다
585,1471,혼자 왔다
586,1472,혼자 왔다
587,1474,혼자 왔다
588,1476,혼자 왔다
589,1477,혼자 왔다
590,1478,혼자 왔다
591,1481,혼자 왔다
592,1482,혼자 왔다
593,1483,혼자 왔다
594,1484,혼자 왔다
595,1485,혼자 왔다
596,1486,혼자 왔다
597,1488,혼자 왔다
598,1489,혼자 왔다
599,1491,혼자 왔다
600,1493,혼자 왔다
601,1495,혼자 왔다
602,1496,혼자 왔다
603,1497,혼자 왔다
604,1500,혼자 왔다
605,1502,혼자 왔다
606,1503,혼자 왔다
607,1504,혼자 왔다
608,1506,혼자 왔다
609,1507,혼자 왔다
610,1509,혼자 왔다
611,1510,혼자 왔다
612,1512,혼자 왔다
613,1513,혼자 왔다
614,1515,혼자 왔다
615,1517,혼자 왔다
616,1522,혼자 왔다
617,1526,혼자 왔다
618,1528,혼자 왔다
619,1530,혼자 왔다
620,1531,혼자 왔다
621,1532,혼자 왔다
622,1533,혼자 왔다
623,1534,혼자 왔다
624,1536,혼자 왔다
625,1537,혼자 왔다
626,1543,혼자 왔다
627,1544,혼자 왔다
628,1545,혼자 왔다
629,1546,혼자 왔다
630,1547,혼자 왔다
631,1548,혼자 왔다
632,1549,혼자 왔다
633,1550,혼자 왔다
634,1553,혼자 왔다
635,1564,혼자 왔다
636,1566,혼자 왔다
637,1567,혼자 왔다
638,1570,혼자 왔다
639,1571,혼자 왔다
640,1575,혼자 왔다
641,1577,혼자 왔다
642,1578,혼자 왔다
643,1579,혼자 왔다
644,1580,혼자 왔다
645,1581,혼자 왔다
646,1582,혼자 왔다
647,1583,혼자 왔다
648,1587,혼자 왔다
649,1588,혼자 왔다
650,1589,혼자 왔다
651,1590,혼자 왔다
652,1591,혼자 왔다
653,1595,혼자 왔다
654,1598,혼자 왔다
655,1609,혼자 왔다
656,1610,혼자 왔다
657,1612,혼자 왔다
658,1616,혼자 왔다
659,1617,혼자 왔다
660,1618,혼자 왔다
661,1619,혼자 왔다
662,1620,혼자 왔다
663,1621,혼자 왔다
664,1623,혼자 왔다
665,1624,혼자 왔다
666,1625,혼자 왔다
667,1629,혼자 왔다
668,1630,혼자 왔다
669,1641,혼자 왔다
670,1642,혼자 왔다
671,1643,혼자 왔다
672,1644,혼자 왔다
