OtherVisitID,VisitID,VisitCountry,BeforeAfterKoreaType
792,10809,홍콩,Before
793,10820,싱가포르,Before
794,10844,중국,Before
795,10891,중국,Before
796,10913,기타,Before
797,10920,일본,Before
798,10922,대만,Before
799,10925,대만,Before
800,10926,홍콩,Before
801,10928,중국,Before
802,10929,기타,Before
803,10930,태국,Before
804,10931,태국,Before
805,10939,태국,Before
806,10941,홍콩,Before
807,10943,중국,Before
808,11118,중국,Before
809,11139,일본,Before
810,11148,기타,Before
811,11171,독일,Before
812,11190,기타,Before
813,11193,태국,Before
814,11194,일본,Before
815,11249,영국,Before
816,11270,중국,Before
817,11292,태국,Before
818,11298,중국,Before
819,11300,기타,Before
820,11301,일본,Before
821,11306,중국,Before
822,11309,일본,Before
823,11315,중국,Before
824,11324,홍콩,Before
825,11327,기타,Before
826,11352,일본,Before
827,11446,중국,Before
828,11463,일본,Before
829,11495,미국,Before
830,11496,중국,Before
831,11499,일본,Before
832,11505,기타,Before
833,11522,중국,Before
834,11524,일본,Before
835,11624,대만,Before
836,11630,중국,Before
837,11639,일본,Before
838,11651,영국,Before
839,11661,기타,Before
840,11662,중국,Before
841,11663,일본,Before
842,11666,일본,Before
843,11684,싱가포르,Before
844,11709,태국,Before
845,11759,미국,Before
846,11786,중국,Before
847,11796,일본,Before
848,11799,태국,Before
849,11801,일본,Before
850,11810,대만,Before
851,11820,기타,Before
852,11821,기타,Before
853,11822,태국,Before
854,11846,중국,Before
855,11850,일본,Before
856,11853,대만,Before
857,11863,중국,Before
858,11871,일본,Before
859,5,중국,After
860,99,일본,After
861,100,중국,After
862,101,싱가포르,After
863,103,일본,After
864,122,기타,After
865,130,호주,After
866,132,태국,After
867,133,태국,After
868,135,대만,After
869,140,대만,After
870,152,태국,After
871,157,중국,After
872,159,싱가포르,After
873,160,태국,After
874,281,홍콩,After
875,282,싱가포르,After
876,290,태국,After
877,292,영국,After
878,296,기타,After
879,318,기타,After
880,321,일본,After
881,322,프랑스,After
882,411,일본,After
883,420,일본,After
884,431,기타,After
885,452,중국,After
